fips,state,base,service_branch,zip_code,coordinates,nmc,miles_to_nmc,headcount_below_2000,total_sponsors,total_spouses,children0-5,children6-11,children12-18,children19andup,other_dependents,total_personnel,family_support_center,personal_financial_management,chaplains,morale_welfare_recreation,county,median_contract_rent,total_obligated_amount_sum,geometry,
15003,Hawaii,MCBH Kaneohe Bay,Marine Corps,96863,"21.448048, -157.754982",Honolulu,14,No,9157,3325,1907,1171,666,122,10,16358,NO,YES,YES,NO,"Honolulu County, Hawaii",1824,14164279,c(-609173.552529496, -1948306.80141647)
15003,Hawaii,Tripler Army Medical Center,Army,96859,"21.359207, -157.893040",Honolulu,3,Yes,1765,1000,672,528,377,97,56,4495,NO,NO,NO,NO,"Honolulu County, Hawaii",1824,14164279,c(-622166.584352489, -1956994.55267913)
15003,Hawaii,Hickham AFB,Air Force,96853,"21.336771, -157.952567",Honolulu,9,No,5561,2836,1845,1577,991,189,35,13034,YES,YES,YES,YES,"Honolulu County, Hawaii",1824,14164279,c(-627985.064176241, -1958939.49747509)
15003,Hawaii,Naval Base Pearl Harbor,Navy,96860,"21.349617, -157.946231",Honolulu,6,No,10222,4570,2894,2173,1505,314,19,21697,YES,YES,YES,YES,"Honolulu County, Hawaii",1824,14164279,c(-627505.518831613, -1957550.70957203)
15003,Hawaii,Schofield Barracks,Army,96857,"21.490920, -158.061974",Honolulu,20,No,15057,7603,5502,3303,2012,390,155,34022,YES,YES,YES,YES,"Honolulu County, Hawaii",1824,14164279,c(-641263.084015377, -1940409.93213425)
15003,Hawaii,Camp H.M Smith,Marine Corps,96861,"21.385863, -157.908450",Honolulu,10,Yes,1172,848,467,569,440,143,8,3647,NO,NO,NO,NO,"Honolulu County, Hawaii",1824,14164279,c(-624107.113007731, -1953829.41481731)
17163,Illinois,Scott AFB,Air Force,62225,"38.542101, -89.857214","St. Louis, MO",23,No,4610,2621,1812,1681,1263,282,27,12296,YES,YES,YES,YES,"St. Clair County, Illinois",759,14135403,c(882896.722679062, -663282.422047352)
12005,Florida,Nav Coastal Systems Ctr,Navy,32407,"30.175843, -85.758538",Panama City,0,Yes,615,337,223,166,122,29,0,1492,YES,YES,YES,NO,"Bay County, Florida",1105,10379613,c(1375260.66016989, -1527838.05826952)
12005,Florida,Tyndall AFB,Air Force,32403,"30.081332, -85.612716",Panama City,12,Yes,1633,792,507,433,294,55,8,3722,NO,YES,YES,YES,"Bay County, Florida",1105,10379613,c(1390662.6258067, -1535831.47780386)
51810,Virginia,Dam Neck Training Center Atlantic,Navy,23461,"36.780247, -75.958299",Virgnia Beach,4,No,3838,2146,1593,1242,743,131,4,9697,YES,YES,YES,YES,"Virginia Beach city, Virginia",1364,9196068,c(2115142.70929991, -606235.433158468)
51810,Virginia,Fort Story,Army,23459,"36.922038, -76.000285",Virgnia Beach,3,No,8790,4642,3435,2691,1842,329,10,21739,YES,YES,YES,YES,"Virginia Beach city, Virginia",1364,9196068,c(2107445.84264682, -592000.142327913)
51810,Virginia,Little Creek Nav Amphib Base,Navy,23521,"36.915579, -76.190733",Norfolk,0,Yes,1045,380,213,170,109,15,0,1932,YES,YES,YES,YES,"Virginia Beach city, Virginia",1364,9196068,c(2091475.81468668, -597497.847976152)
51810,Virginia,Oceana NAS,Navy,23460,"36.811314, -76.028177",Virginia Beach,0,No,5711,2490,1864,1341,890,158,12,12466,YES,YES,YES,YES,"Virginia Beach city, Virginia",1364,9196068,c(2108302.28881208, -604654.04381657)
45019,South Carolina,Charleston AFB,Air Force,29404,"32.89684, -80.05224",Charleston,10,No,3727,1879,1258,858,472,78,11,8283,YES,YES,YES,YES,"Charleston County, South Carolina",1246,6402153,c(1855546.73798167, -1123632.09361522)
02020,Alaska,Fort Richardson,Army,99505,"61.253827, -149.692794",Anchorage,8,No,5141,2480,1721,1094,589,80,27,11132,YES,YES,YES,YES,"Anchorage Municipality, Alaska",1285,6368646,c(-1504703.41924333, -2082410.80823425)
02020,Alaska,Elmendorf AFB,Air Force,99506,"61.252735, -149.798069",Anchorage,2,No,5504,2722,1900,1431,830,126,26,12539,YES,YES,YES,YES,"Anchorage Municipality, Alaska",1285,6368646,c(-1507368.19658737, -2082924.36691781)
06067,California,(C2) Sacramento Army Depot,Army,95828,"38.524586, -121.395982",Sacramento,0,Yes,316,249,245,154,49,11,6,1030,NO,NO,NO,NO,"Sacramento County, California",1417,5807207,c(-1843151.48575018, -480492.275042649)
39057,Ohio,Wright-Patterson AFB,Air Force,45433,"39.816969, -84.052952",Dayton,10,No,5401,3037,2246,1726,1209,270,25,13914,YES,YES,YES,YES,"Greene County, Ohio",843,3585220,c(1356266.75070314, -444744.290738419)
24033,Maryland,Andrews AFB,Air Force,20762,"38.800918, -76.881770",Washington D.C.,10,No,4312,2171,1563,1136,720,144,26,10072,YES,YES,YES,YES,"Prince George's County, Maryland",1567,2766827,c(1979017.06398419, -410805.644533169)
06073,California,Coronado NAV AMPHIB Base,Navy,92155,"32.672339, -117.165807",San Diego,5,No,6057,3096,2071,1539,1074,227,20,14084,NO,YES,YES,YES,"San Diego County, California",1886,2729201,c(-1605753.8263886, -1204547.76946167)
06073,California,North Island NAS,Navy,92135,"32.699678, -117.183127",San Diego,4,No,8809,4070,2895,2110,1392,302,7,19585,NO,NO,NO,NO,"San Diego County, California",1886,2729201,c(-1606813.10775885, -1201239.87135464)
06073,California,San Diego MC Recruit Depot,Marine Corps,92140,"32.742070, -117.199353",San Diego,2,No,6764,1121,828,600,305,49,6,9673,YES,YES,YES,YES,"San Diego County, California",1886,2729201,c(-1607475.84262753, -1196310.34585527)
06073,California,Camp Pendleton,Marine Corps,92055,"33.309353, -117.315158",San Diego,35,No,39690,14060,8218,5035,3081,570,46,NA,YES,YES,YES,YES,"San Diego County, California",1886,2729201,c(-1606886.74053178, -1132242.37389767)
06073,California,MCAS Miramar,Marine Corps,92145,"32.891447, -117.131173",San Diego,10,No,7535,3122,1831,1205,716,122,11,14542,NO,YES,YES,YES,"San Diego County, California",1886,2729201,c(-1598293.20264335, -1181295.08893755)
06073,California,San Diego Point Loma,Navy,92106,"32.683205, -117.240132",San Diego,5,Yes,1252,728,532,390,303,81,6,3292,YES,YES,YES,YES,"San Diego County, California",1886,2729201,c(-1612377.80659793, -1201962.28759365)
06073,California,Fleet ASW Training Center Pacific,Navy,92147,"32.725156, -117.220570",San Diego,7,Yes,1417,816,568,474,418,84,9,3786,NO,NO,NO,NO,"San Diego County, California",1886,2729201,c(-1609757.20497437, -1197755.58586564)
06073,California,Naval Medical Center San Diego,Navy,92134,"32.725023, -117.145539",San Diego,0,No,4028,1797,1266,893,587,127,16,8714,NO,NO,NO,NO,"San Diego County, California",1886,2729201,c(-1602862.02844573, -1199181.52369578)
06073,California,San Diego NAVSTA,Navy,92136,"32.685100, -117.126487",San Diego,0,No,32983,13315,8487,6426,4484,803,59,66557,YES,YES,YES,YES,"San Diego County, California",1886,2729201,c(-1601887.86422819, -1203894.08268777)
01045,Alabama,Fort Rucker,Army,36362,"31.340581, -85.719988",Dothan,26,No,3860,2212,1463,1138,898,217,17,9805,NO,NO,NO,NO,"Dale County, Alabama",592,2435474,c(1360649.67772287, -1399942.52561843)
08041,Colorado,USAF Academy,Air Force,80840,"38.998401, -104.861875",Colorado Springs,8,No,2070,1044,747,718,584,106,10,5279,NO,YES,YES,YES,"El Paso County, Colorado",1332,2126609,c(-421370.561100957, -654069.520078664)
