"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"12086","Florida","Homestead AFB","Air Force","33039","25.489200, -80.391105","Homestead",9,"Yes",429,251,150,162,128,23,"4","1147","NO","NO","NO","NO","Miami-Dade County, Florida",1458,c(1979965.90345248, -1934438.268636)
"12086","Florida","Southern Command","Army","33172","25.806739, -80.347824","Miami",0,"Yes",1370,820,450,447,390,100,"19","3596","NO","NO","NO","YES","Miami-Dade County, Florida",1458,c(1978014.09409928, -1899127.01234279)
"24021","Maryland","Fort Detrick","Army","21702","39.435302, -77.427446","Baltimore/Washington D.C.",50,"Yes",991,649,400,387,344,82,"11","2864","YES","YES","YES","YES","Frederick County, Maryland",1455,c(1915783.89372999, -355079.075554456)
"34029","New Jersey","(C4) Lakehurst Naval Air Engineering Center","Navy","8733","40.029751, -74.314803","Philadelphia, PA",57,"Yes",274,162,116,93,72,14,"0","731","YES","YES","YES","YES","Ocean County, New Jersey",1444,c(2150653.01841325, -214030.455963928)
"06067","California","(C2) Sacramento Army Depot","Army","95828","38.524586, -121.395982","Sacramento",0,"Yes",316,249,245,154,49,11,"6","1030","NO","NO","NO","NO","Sacramento County, California",1417,c(-1843151.48575018, -480492.275042649)
"12095","Florida","NSA Orlando","Navy","32826","28.584035, -81.197681","Orlando",0,"Yes",163,123,79,74,60,4,"0","503","YES","NO","NO","YES","Orange County, Florida",1364,c(1840322.06032843, -1616722.91437864)
"51810","Virginia","Little Creek Nav Amphib Base","Navy","23521","36.915579, -76.190733","Norfolk",0,"Yes",1045,380,213,170,109,15,"0","1932","YES","YES","YES","YES","Virginia Beach city, Virginia",1364,c(2091475.81468668, -597497.847976152)
"25023","Massachusetts","(C4) South Weymouth NAS","Navy","2190","42.149370, -70.943139","Boston",0,"Yes",426,265,195,153,83,24,"0","1146","NO","NO","NO","NO","Plymouth County, Massachusetts",1359,c(2339828.85313706, 105226.234899501)
"50007","Vermont","Burlington IAP-AGS","Air Force","05403","44.473397, -73.146340","Albany",151,"Yes",113,56,42,35,17,2,"1","266","NO","NO","NO","NO","Chittenden County, Vermont",1358,c(2088030.56685807, 291926.24042261)
"22075","Louisiana","New Orleans NAS JRB","Navy","70143","29.824834, -90.020021","New Orleans",0,"Yes",463,257,162,120,102,27,"1","1132","YES","YES","YES","YES","Plaquemines Parish, Louisiana",1326,c(970260.522623294, -1623868.79330883)
"36071","New York","Stewart Newburgh USARC","Army","12550","41.502060, -74.082805","New York",60,"Yes",259,136,76,66,36,4,"1","578","NO","NO","NO","NO","Orange County, New York",1305,c(2120299.82178583, -50051.2732500114)
"36071","New York","West Point MILRES","Army","10996","41.390925, -73.978758","New York",50,"Yes",1527,890,711,625,541,112,"11","4417","YES","YES","YES","YES","Orange County, New York",1305,c(2132197.80058838, -59245.5703963994)
"24025","Maryland","Aberdeen Proving Ground","Army","21005","39.463803, -76.127823","Baltimore",23,"Yes",831,588,331,366,422,115,"19","2672","YES","YES","YES","YES","Harford County, Maryland",1290,c(2021498.06834012, -320956.708379598)
"27053","Minnesota","Fort Snelling","Army","55111","44.894991, -93.199064","Minneapolis",0,"Yes",262,181,156,123,67,10,"0","799","NO","NO","NO","NO","Hennepin County, Minnesota",1268,c(536456.781937689, 10785.9458748102)
"51041","Virginia","Richmond Defense Depot","Army","23297","37.424562, -77.449493","Richmond",0,"Yes",303,186,139,136,80,18,"2","864","YES","YES","NO","YES","Chesterfield County, Virginia",1266,c(1970338.27769924, -573185.135461199)
"45015","South Carolina","Navy Weapons Station, Charleston","Navy","29445","32.958290, -79.936793","Charleston",25,"Yes",632,335,210,204,116,19,"3","1519","YES","YES","YES","YES","Berkeley County, South Carolina",1239,c(1864634.76722497, -1114432.31207037)
"45015","South Carolina","(C3) Charleston
NAVSTA","Navy","29408","32.958290, -79.936793","Charleston",0,"Yes",176,121,95,93,46,8,"1","540","YES","YES","YES","YES","Berkeley County, South Carolina",1239,c(1864634.76722497, -1114432.31207037)
"51550","Virginia","NSA Northwest Annex","Navy","23322","36.567848, -76.248337","Chesapeake",0,"Yes",866,434,322,271,154,28,"2","2087","YES","YES","NO","NO","Chesapeake city, Virginia",1236,c(2096592.80099188, -636485.661333812)
"02090","Alaska","Eielson AFB","Air Force","99702","64.674166, -147.029604","Fairbanks",26,"Yes",1958,973,646,489,287,23,"6","4832","YES","YES","YES","YES","Fairbanks North Star Borough, Alaska",1228,c(-1471267.08963554, -1874733.48924126)
"51099","Virginia","NAVSURFWEAPCEN
Dahlgren","Navy","22448","38.326820, -77.037444","Fredericksburg",23,"Yes",688,330,211,196,134,24,"0","1583","YES","YES","YES","YES","King George County, Virginia",1174,c(1979676.33982014, -465777.960461149)
"51099","Maryland","(C4) White Oak NSWC Dahlgren","Navy","20903","38.333775, -77.040005","Washington D.C.",5,"Yes",532,285,184,154,125,31,"8","1319","YES","YES","YES","YES","King George County, Virginia",1174,c(1979264.37412747, -465087.160235918)
"12113","Florida","Whiting Field NAS","Navy","32570","30.714295, -87.018116","Pensacola",30,"Yes",1145,458,263,167,110,20,"4","2167","YES","YES","NO","YES","Santa Rosa County, Florida",1173,c(1247155.33137278, -1488063.47977603)
"48439","Texas","NAS JRB Fort Worth","Navy","76127","32.768604, -97.433553","Fort Worth",0,"Yes",934,514,334,297,197,30,"0","2306","YES","YES","YES","YES","Tarrant County, Texas",1169,c(241774.065944663, -1351824.7119966)
