"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"15003","Hawaii","MCBH Kaneohe Bay","Marine Corps","96863","21.448048, -157.754982","Honolulu",14,"No",9157,3325,1907,1171,666,122,"10","16358","NO","YES","YES","NO","Honolulu County, Hawaii",1824,c(-609173.552529496, -1948306.80141647)
"24031","District of Columbia","Walter Reed Army Medical Center","Army","20307","39.000774, -77.094052","Washington D.C.",0,"Yes",266,178,156,109,63,12,"4","788","NO","NO","NO","NO","Montgomery County, Maryland",1823,c(1955695.9468758, -394256.044181616)
"25021","Massachusetts","Westover ARB AFB","Air Force","1022","42.197851, -72.545324","Springfield",10,"Yes",168,99,65,51,29,3,"0","415","YES","YES","YES","YES","Norfolk County, Massachusetts",1794,c(2215434.15118859, 65345.8828875734)
"25021","Illinois","Naval Station Great Lakes","Navy","60088","42.312094, -87.835332","Chicago",30,"No",15726,2396,1617,1185,798,148,"5","21875","YES","YES","YES","YES","Norfolk County, Massachusetts",1794,c(998595.064691643, -224518.448080737)
"06095","California","Travis AFB","Air Force","94535","38.270864, -121.947730","San Francisco",45,"No",6675,3212,2098,1485,960,153,"52","14635","YES","YES","YES","YES","Solano County, California",1777,c(-1896241.67355621, -495559.802916694)
"51153","Colorado","Fort Carson","Army","80913","38.735846, -104.787681","Colorado Springs",6,"No",24520,13256,9358,6036,3540,617,"146","57473","YES","YES","YES","YES","Prince William County, Virginia",1755,c(-416527.522949437, -683518.783334175)
"51153","Virginia","MCCDC Quantico VA","Marine Corps","22134","38.507898, -77.307027","Washington D.C.",35,"No",8409,4160,2776,2069,1484,370,"17","19285","YES","YES","YES","YES","Prince William County, Virginia",1755,c(1952053.66454863, -452592.524297713)
"51153","Missouri","Whiteman AFB","Air Force","65305","38.732016, -93.559984","Kansas City",60,"No",3831,1703,1203,870,524,72,"9","8212","YES","YES","YES","YES","Prince William County, Virginia",1755,c(560086.165739284, -674284.552954416)
"51153","Missouri","Naval Research Center St. Louis","Navy","63044","38.747460, -90.370522","St. Louis",10,"Yes",278,194,146,128,85,11,"1","843","NO","NO","NO","NO","Prince William County, Virginia",1755,c(835994.915674367, -645906.396019988)
"24003","Maryland","Annapolis NS (Incl. USNA)","Navy","21402","38.981965, -76.483779","Annapolis",0,"Yes",1447,687,474,375,296,81,"5","3365","YES","YES","YES","YES","Anne Arundel County, Maryland",1733,c(2006627.2775953, -381648.304450292)
